REGION,COUNTRY,KW1,KW2,PROJECT TITLE,CLIENT,Name of Client,Duration  (months),EUR Value of assignment,Origin of funding,Start Year,Duration
Africa,Mozambique,ENM,ENM,Identification-mission for a Natural Resource management Component within the environmental support programme to Mozambique,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2003,1 Months
Africa,Kenya  ,ENM,ARD,Strategic Environmental Assessment (SEA) of the implementation of the National Sugar Adaptation Strategy for KENYA,EU,Particip for European Commission,5 Months,"177,900",EU,2012,5 Months
Africa,Tanzania,ENM,ENM,"Capacity and Training Needs Assessment, Moshi Municipal Council - Moshi Environmental Programme.",Danish Embassy,"Ministry of Foreign Affairs, Denmark",4 Months,"28,790",Denmark,2003,4 Months
Africa,Tanzania,ENM,ENM,Review of the present royalty and revenue collection system for forest production in Lindi Region,Danish Embassy,"Royal Danish Embassy, Dar es Salaam",9 Months,"68,130",Denmark,2003,9 Months
Africa,Zambia,ENM,ENM,"Tender consultancy. Lusaka Waste Management Project, Phase B",Danida,"Ministry of Foreign Affairs, Denmark",10 Months,"39,820",Denmark,2003,10 Months
Asia,Bhutan,ENM,ENM,Annual Sector Review - Environment Sector Support Programme,Danida,"Ministry of Foreign Affairs, Denmark",9 Months,"63,960",Denmark,2003,9 Months
Asia,Bhutan,ENM,ENM,Programme and Component Preparation - Environment Sector Support Programme.,Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"47,288",Denmark,2003,8 Months
Asia,India ,ENM,ENM,Review of Karnataka Watershed Development Project,Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"91,170",Denmark,2003,6 Months
Asia,Indonesia  ,ENM,SE,Environmental support Pgr. Phase 3,Danida,danida,10 Months,"107,860",Danida,2012,10 Months
Asia,Thailand,ENM,ENM,Appraisal of sub-component “Joint Management of Protected Areas” (MIFRESTA).,Danida,"Ministry of Foreign Affairs, Denmark",7 Months,"96,830",Denmark,2003,7 Months
Asia,Thailand,ENM,ENM,"Joint Management of Protected Areas, Thailand",Danida,"Ministry of Foreign Affairs, Denmark",10 Months,"53,730",Denmark,2003,10 Months
Asia,Vietnam,ENM,ENM,Appraisal of Phase II Solid waste management in Nghe An,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"153,010",Denmark,2003,4 Months
Europe,Serbia,ENM,ENM,"Support to Adjustments of the FRESTA Programme Document Phase 3, 2003 - 2004.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2003,1 Months
Europe,Serbia,ENM,RE,"External Evaluation of Sweden’s Support to 
Sustainable Environments in Central and Eastern Europe
",Sida,Indevelop Sweden AB / Sida - Swedish International Development Cooperation Agency,17 Months,"68,939",Sweden,2012,17 Months
Europe,Serbia,ENM,RE,"External Evaluation of Sweden’s Support to 
Sustainable Environments in Central and Eastern Europe and Review of IFI reporting on Environmental Infrastructure improvements
",Sida,Indevelop Sweden AB / Sida - Swedish International Development Cooperation Agency,23 Months,"100,449",Sweden,2012,23 Months
Asia,China,ENM,CC,Developing and validating the training course: Greening Development - the essential sustainability primer + training in Brussels and China and preparation of 5 Guidance Notes on ENV and CC mainstreaming - Governance.,ADE,ADE for EU,28 Months,"79,533",EU,2012,28 Months
Global,Global,ENM,ENM,Support to the Thematic Review of the DANIDA Forest Tree Seed Centre,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2003,1 Months
Global,Global,ENM,ENM,"Desk-study, preparing for Evaluation of Danish ODA Targeting Urban Environmental Problems",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2003,1 Months
Americas,Bolivia,ENM,ENM,Annual Sector Review - Environmental Sector Support Programme,Danida,"Ministry of Foreign Affairs, Denmark",7 Months,95240,Denmark,2003,7 Months
Americas,Nicaragua,ENM,ENM,Pre-appraisal of extending Danida support for the management of protected areas and buffer zones in Nicaragua,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"11,330",Denmark,2003,2 Months
Americas,Nicaragua,ENM,ENM,Monitoring Review of CCAD,Swedish Embassy,Swedish International Development Cooperation Agency - Sida ,2 Months,"8,640",Sweden,2003,2 Months
Africa,Tanzania,ENM,ENM,Desk Appraisal - Revised Project Document for Technical Assistance to the Regional Training and Technology Transfer Centre (RTTTC) for Implementation of the Basel Convention in English-Speaking Africa,Danida,"Ministry of Foreign Affairs, Denmark",51 Months,107700,Denmark,2002,51 Months
Africa,Egypt,ENM,ENM,"Review of Support to Shore Protection Authority (SPA 2, Step 1) - TA Programme to A) Shore Protection Authority Phase 2; B) Coastal Research Institute and; C) Hydraulic Research Institute",Danida,"Ministry of Foreign Affairs, Denmark",13 Months,"42,040",Denmark,2002,13 Months
Africa,Mozambique,ENM,ENM,Review of the Integrated Industrial Pollution Project (MIFRESTA),Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"61,200",Denmark,2002,6 Months
Africa,Mozambique,ENM,ENM,"Feasibility Study and Formulation of Industrial Environment Component, IIPP, Phase II (MIFRESTA)",Danida,"Ministry of Foreign Affairs, Denmark",13 Months,"181,340",Denmark,2002,13 Months
Africa,Tanzania,ENM,ENM,Fact finding mission concerning a National Component for the Sustainable Cities Programme,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"36,550",Denmark,2002,3 Months
Asia,Bhutan,ENM,ENM,Annual Review and Formulation of the Environment SPS II,Danida,"Ministry of Foreign Affairs, Denmark",9 Months,"58,587",Denmark,2002,9 Months
Asia,Cambodia,ENM,ENM,"Appraisal of the NRM Component: IPM; Community Forestry (Concern) and Support to Seila. Natural Resource and Environment Programme (MIFRESTA),",Danida,"Ministry of Foreign Affairs, Denmark",5 Months,"31,240",Denmark,2002,5 Months
Asia,Cambodia,ENM,ENM,Consultancy Services for Environmental Management in the Coastal Zone Phase 3.,Danida,"Ministry of Foreign Affairs, Denmark",9 Months,"304,880",Denmark,2002,9 Months
Africa,Kenya  ,ENM,ARD,End-term Evaluation of the Community Development for Environmental Management Programme (CDEMP): Capacity Building Facility (CBF),EUR,Particip for EU,2 Months,"43,070",,2011,2 Months
Asia,Malaysia,ENM,ENM,Component Preparation Mission - Malaysian - Danish Environmental Cooperation Programme 2003 -2006,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2002,1 Months
Asia,Thailand,ENM,ENM,Programme Review Mission: Thai - Danish Environmental Cooperation Programme,Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"179,080",Denmark,2002,8 Months
Asia,Thailand,ENM,ENM,Preparatory Mission for the Urban Environment Management Component of Thai Danish Cooperation in Environment and Development.,Danida,"Ministry of Foreign Affairs, Denmark",12 Months,"32,870",Denmark,2002,12 Months
Africa,Mozambique,ENM,GMD,"Estudo sobre Desenvolvimento de Mecanismo de Prevenção, Resolução e Monitoria 
de Conflitos de Terras nas Comunidades
",Swedish Cooperative Center,Swedish Cooperative Center,2 Months,"21,210",SIDA,2011,2 Months
Asia,Vietnam,ENM,ENM,Danish Environmental Assistance to Vietnam,Danida,"Ministry of Foreign Affairs, Denmark",10 Months,"113,340",Denmark,2002,10 Months
Asia,Vietnam,ENM,ENM,Appraisal and Pre-Appraisal of Project Activities for 2003 (Brown Component) Danish Environmental Assistance to Vietnam  (DEA-Vietnam) (MIFRESTA),Danida,"Ministry of Foreign Affairs, Denmark",7 Months,"2,040,120",Denmark,2002,7 Months
Europe,Lithuania,ENM,ENM,Appraisal of Project documents for Technical Assistance to the Development of Inspection and Enforcement in the Regional Departments of the Ministry of Environment in Lithuania ,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2002,1 Months
Europe,Bosnia and Herz.,ENM,ENM,FRESTA Follow-Up and Preparation of FRESTA Conference in Sarajevo 21-22 September 2002,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2002,1 Months
Africa,Zambia  ,ENM,GCS,Environment and Natural Ressource Management and Mainstreaming Programme,Danida,Danida,1.2,"33,130",,2011,1.2
Americas,Nicaragua,ENM,ENM,Support to Annual Sector Review of the Environment Sector Programme,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2002,1 Months
Arctica,Greenland  ,ENM,GCS,Arctic scoping study and Arctic scoping study phase II,Artic Funders group,Artic Funders group,6 Months,"14,520",0,2011,6 Months
Africa,Malawi,ENM,ENM,Appraisal of Support to Community Based Natural Resource Management,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2001,1 Months
Africa,Mozambique,ENM,ENM,Appraisal of Support to the Urban Environmental Management Programme for Mozambique,Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"102,290",Denmark,2001,8 Months
Africa,Mozambique,ENM,ENM,Identification and Formulation Mission: Support to Environmental Management Strategy for the Greater Maputo Area.,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"118,340",Denmark,2001,3 Months
Africa,Mozambique,ENM,ENM,Feasibility study for: Support to Environmental Management Strategy for the Greater Maputo Area,Danida,"Ministry of Foreign Affairs, Denmark",17 Months,"177,710",Denmark,2001,17 Months
Africa,Namibia,ENM,ENM,Regional Workshop on Community Involvement in Sustainable Forest Management.,Danced/ Danida,DANCED,25 Months,"323,100",Denmark,2001,25 Months
Africa,South Africa,ENM,ENM,Short-term consultancy input to the Dense Settlement Project.,Danced,DANCED,1 Months,1,Denmark,2001,1 Months
Africa,South Africa,ENM,ENM,Core Consultancy for the development of a project or projects for possible DANCED support to the Implementation of the South African Biodiversity Policy.,Danced,DANCED,19 Months,"151,280",Denmark,2001,19 Months
Africa,South Africa,ENM,ENM,Review of Cleaner Production in the Fish Industry,Danced,"Danish Environmental Protection Agency, Danced",16 Months,"41,930",Denmark,2001,16 Months
Africa,South Africa,ENM,ENM,Project Preparation for Air Quality Management Strategy,Danced,"Danish Environmental Protection Agency, Danced",34 Months,"148,530",Denmark,2001,34 Months
Africa,South Africa,ENM,ENM,Programme Core Consultancy as Support in Conjunction with the Preparation of the South African-Danish Environmental Country Programme 2003 - 2007.,Danced,"Danish Environmental Protection Agency, Danced",14 Months,"312,940",Denmark,2001,14 Months
Africa,Tanzania,ENM,ENM,Review of Mwanza and Iringa Urban Environmental Projects,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2001,1 Months
Asia,Bangladesh,ENM,ENM,Environmental Management Plan for the Agricultural Sector Programme Support  (ASPS),Danida,"Ministry of Foreign Affairs, Denmark",11 Months,"101,232",Denmark,2002,11 Months
Asia,Bhutan,ENM,ENM,"Annual Sector Review, Environmental Sector",Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"1,000",Denmark,2001,2 Months
Asia,Bhutan,ENM,ENM,Joint Technical Review on the Sustainability of Environment Sector Programme Support beyond June 2003.,Danida,"Ministry of Foreign Affairs, Denmark",10 Months,"14,430",Denmark,2001,10 Months
Asia,India ,ENM,ENM,Joint Review cum Appraisal of Comprehensive Watershed Development Project Madhya Pradesh.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2001,1 Months
Asia,Laos,ENM,ENM,Appraisal of Southern Lowland Natural Resources Management (MIFRESTA),Danida,"Ministry of Foreign Affairs, Denmark",5 Months,"73,240",Denmark,2001,5 Months
Asia,Turkey,ENM,ARD,Murat Watershed Rehabilitation Project (MRWRP) - Final Design,IFAD,Jørgen Karlsen for IFAD,1 Months,"2,390",IFAD,2011,1 Months
Asia,Malaysia,ENM,ENM,"Appraisal of the Implementation of an Urban Environmental Management System in Kuching, Sarawak.",Danced,Danish Environmental Protection Agency (Danced),19 Months,"135,700",Denmark,2001,19 Months
Asia,Thailand,ENM,ENM,"Support to analysis and synthesis, preparing the Danced / Thailand Environmental Country Programme 2002-2006.",Danced,Danish Environmental Protection Agency (Danced),21 Months,"226,170",Denmark,2001,21 Months
Asia,Thailand,ENM,ENM,"Appraisal Mission, Marine National Park Project, Thailand",Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,2001,1 Months
Africa,Mozambique,ENM,CC,Finalisation of the environment sector Programme Support,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,34960,Denmark,2010,4 Months
Asia,Vietnam,ENM,ENM,Reformulation of Danish Environmental Assistance to Vietnam 2002 (MIFRESTA).,Norad,NORAD,13 Months,"41,180",Norway,2001,13 Months
Europe,Ukraine,ENM,ENM,Formulation of a DANCEE country programme for the Ukraine to implement the DANCEE strategy 2001-2006.,Dancee,Dancee,1 Months,1,Denmark,2001,1 Months
Americas,Bolivia,ENM,ENM,Annual Sector Review - Environmental Sector Support Programme,Danida,"Ministry of Foreign Affairs, Denmark",11 Months,"45,230",Denmark,2001,11 Months
Americas,Nicaragua,ENM,ENM,Technical and Annual Review - Environment Sector Programme Support,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"116,620",Denmark,2001,3 Months
Africa,Tanzania,ENM,PSM,Joint Technical Review of Environmental Management Act Implementation Support Programme (EISP),Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"63,910",Denmark,2010,6 Months
Africa,South Africa,ENM,ENM,Appraisal of Institutional Development Targeting Indigenous Forest Management,Danced,DANCED,15 Months,"142,050",Denmark,2000,15 Months
Asia,Bangladesh,ENM,ENM,Watershed Development in Chittagong Hill Tracts,Danida,"Ministry of Foreign Affairs, Denmark",11 Months,"116,179",Denmark,2000,11 Months
Africa,Uganda  ,ENM,CC,Updating the EC Country Environment Profile for Uganda and exploring Options for integration of Climate Change in the EC - Uganda development cooperation.,Particip for EU,European Commission,5 Months,"38,970",,2010,5 Months
Asia,Bangladesh,ENM,ENM,Interim Planning Mission for Watershed Development in the Chittagong Hill Tracts,Danish Embassy,"Ministry of Foreign Affairs, Denmark",6 Months,"21,122",Denmark,2000,6 Months
Asia,Bhutan,ENM,ENM,2nd Joint Annual Sector Review - Environment Sector Programme Support,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"17,598",Denmark,2000,3 Months
Asia,Malaysia,ENM,ENM,Formulation of a Background Paper for the Design of the EPU DANCED Programme for Environmental Assistance to Malaysia 2002 - 2006.,Danced,Danced,1 Months,1,Denmark,2000,1 Months
Asia,Philippines,ENM,ENM,Appraisal of the Danish Support to the Pasig River Rehabilitation Programme.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2000,1 Months
Asia,Vietnam,ENM,ENM,"LFA Workshop for Rural Development in the Coastal Areas of Trieu Phong District, Quang Tri Province",Norad,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2000,1 Months
Europe,Lithuania,ENM,ENM,Desk Appraisal of 5 Projects in Lithuania and Latvia,Dancee,Dancee,1 Months,1,Denmark,2000,1 Months
Europe,Latvia,ENM,ENM,Desk Appraisal of 5 Projects in Lithuania and Latvia,Dancee,Dancee,1 Months,1,Denmark,2000,1 Months
Europe,Macedonia,ENM,ENM,Appraisal of two projects in the Environmental Support to Macedonia.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2000,1 Months
Global,Global,ENM,ENM,Appraisal of the Consolidation Phase of Danish University Consortium for Environment and Development (DUCED) - Industry and Urban Areas (I&UA) and Sustainable Land Use and Natural Resource Management (SLUSE) (Southern Africa / South East Asia),Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,2000,1 Months
Asia,Thailand,ENM,ENM,Desk Appraisal of the draft project document ‘Capacity Building for Green Taxation Policy Development’ in Thailand.,Danced,"Danish Environmental Protection Agency, Danced",1 Months,1,Denmark,2000,1 Months
Africa,Burkina Faso,ENM,ENM,Formulation Mission: Projet de Gestion des Ressources Naturelles dans la Province de la Komandjari. Appuis Danois au Développement de l´Agriculture au Burkinabè,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Africa,South Africa,ENM,ENM,Project Formulation for Cleaner Technology in the Metal Finishing Industry.,Danced,"Danish Environmental Protection Agency, Danced",1 Months,1,Denmark,1999,1 Months
Global,Global,ENM,AM,Mid-term Evaluation of the Helpdesk/ External Expert Advice Services provided to SIDA by SLU,Sida,Swedish International Development Cooperation Agency - Sida ,3 Months,"63,380",Sweden,2010,3 Months
Global,Global,ENM,AM,Working with Sector Approach in ARD and environment,ADE for EU,"ADE for EU
Aid Delivery Methods - Support Team",1 Months,"16,790",EU,2010,1 Months
Global,Global,ENM,AM,Design of SWAP + IWRM Water Seminar + reporting of Seminar,ADE for EU,"ADE for EU
Aid Delivery Methods - Support Team",6 Months,"5,450",EU,2010,6 Months
Global,Global,ENM,AM,“Aid Effectiveness” in the Environmental Sector,Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"26,720",Denmark,2010,6 Months
Africa,Tanzania,ENM,ENM,Appraisal - Sustainable and Integrated Management of the Malagarasi-Moyowosi Ramsar Site.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Africa,Zimbabwe,ENM,ENM,"Forestry Planning and Management System, Zimbabwe.",UNOPS,,1 Months,1,UN,1999,1 Months
Asia,Cambodia,ENM,ENM,Consultancy Services for Environmental Management in the Coastal Zone Phase 2.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Asia,India ,ENM,ENM,"Review - Indo-Danish Comprehensive Watershed Development Project, Madhya Pradesh",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Asia,India ,ENM,ENM,"Review of the Karnataka Watershed Development Project Phase II and of the Watershed Development Coordination Unit, New Delhi",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Asia,Thailand,ENM,ENM,Short Term Strategic Planning Advisory Service. Thai NGO-COD and DANCED Partnership Towards Sustainable Management of Resources (Phase II),Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1999,1 Months
Americas,Bolivia,ENM,ENM,Preparation/Formulation Mission: Environment Sector Programme Support,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Americas,Bolivia,ENM,ENM,Support to Natural Resource Management - Industry & Mining Components,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Americas,Bolivia,ENM,ENM,"ESPS: Prevention and Mitigation of Pollution in Industry and in Mining, Bolivia.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Americas,Nicaragua,ENM,ENM,"Environment Sector Programme Support: Institutional Support, Nicaragua.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1999,1 Months
Africa,Botswana,ENM,ENM,"Environmental Planning Programme, Botswana.",Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1998,1 Months
Africa,Mozambique,ENM,CC,Process consultancy for Support to Formulation of Environmental sector Programme Phase II,Austral-Cowi for Danida,Austral-Cowi for Danida,2 Months,"18,270",Denmark,2009,2 Months
Africa,Malawi,ENM,ENM,Pre-appraisal - Environmental Support Programme,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Africa,South Africa,ENM,ENM,Green City Project,Danced,DANCED,1 Months,1,Denmark,1998,1 Months
Africa,South Africa,ENM,ENM,Water Quality in Dense Settlements,Danced,DANCED,1 Months,1,Denmark,1998,1 Months
Africa,South Africa,ENM,ENM,Appraisal Mission: Cleaner Technology in the Fishing Industry,Danced,"Danish Environmental Protection Agency, Danced",1 Months,1,Denmark,1998,1 Months
Africa,South Africa,ENM,ENM,Project Formulation for Cleaner Production in the Textile Industry,Danced,"Danish Environmental Protection Agency, Danced",1 Months,1,Denmark,1998,1 Months
Africa,South Africa,ENM,ENM,Appraisal of environmental capacity building in Southern Metropolitan Council Johannesburg,Danced,"Danish Environmental Protection Agency, Danced",1 Months,1,Denmark,1998,1 Months
Africa,South Africa,ENM,ENM,Appraisal of proposal for setting up an environmental capacity building unit in the Department of Environment and Tourism.,Danced,"Danish Environmental Protection Agency, Danced",1 Months,1,Denmark,1998,1 Months
Africa,Tanzania,ENM,ENM,Appraisal - Udzungwa Mountains Forest Management and Biodiversity Conservation Programme,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Africa,Tanzania,ENM,ENM,Formulation Mission: Environmental Support Programme.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Asia,Bhutan,ENM,ENM,"Support to the National Environment Commission (NEC) Secretariat, Phase 2",Danida,"Ministry of Foreign Affairs, Denmark",24 Months,"69,799",Denmark,1998,24 Months
Asia,Vietnam  ,ENM,CC,"NATIONAL TARGET PROGRAMME TO RESPOND TO CLIMATE CHANGE 
(NTP RCC)
RESULT-BASED M&E AND BASELINE STUDY
",Danida,Danida,6 Months,"129,920",0,2009,6 Months
Asia,Malaysia,ENM,ENM,Review: Integrated Coastal Zone Management Project,Danced,Danced,1 Months,1,Denmark,1998,1 Months
Americas,Bolivia,ENM,ENM,Joint Review - Environment Sector Programme Development (status report),Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Americas,Bolivia,ENM,ENM,Appraisal Mission - Environment Sector Support Programme ,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Americas,Nicaragua,ENM,ENM,Review of institutional assistance to Environmental Protection Agency,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1998,1 Months
Africa,Burkina Faso,ENM,ENM,Appraisal of the institutional support and natural forest management components of the Initial Phase of the IDA Regional Programme for the Traditional Energy Sector (RPTES),Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Africa,Ghana,ENM,ENM,Preparation Mission for a Natural Resource Management Project (natural forest management in Northern Ghana in collaboration with the Savanna Woodland Management),WB,World Bank,1 Months,1,WB,1997,1 Months
Africa,Malawi,ENM,ENM,Appraisal Mission - Lake Malawi Lakeshore District Environmental Management Programme.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Asia,Bhutan,ENM,ENM,Review/Appraisal - Environment Sector Programme Support.,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"28,591",Denmark,1997,3 Months
Asia,Indonesia,ENM,ENM,"National Forest Seed Project, Indonesia.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Asia,Lao PDR,ENM,ENM,"Natural Resources & Environment Programme, Programme Formulation",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Asia,Malaysia,ENM,ENM,"Development of Shoreline Management Plan and Regional Environmental Impact Assessment, West Coast of Sabah.",Government of Malaysia,,1 Months,1,,1997,1 Months
Asia,Thailand,ENM,ENM,Strategies and Institutional Arrangements for Natural Resources and Environmental Management in Watershed Areas - Proposals for Improvement.,Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1997,1 Months
Asia,Philippines,ENM,ENM,Formulation of a Watershed Management Strategy and Programme,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Americas,Bolivia,ENM,ENM,Design of Danish Assistance to the Environment Sector in Bolivia,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1997,1 Months
Africa,Tanzania,ENM,ENM,Identification Mission: Danida Support for Tanzania’s National Environmental Action Plan under the MIKA Framework.,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,India ,ENM,ENM,"Review –Indo-Danish Comprehensive Watershed Development Project, Koraput, Orissa",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Africa,Egypt,ENM,GCS,Technical Assistance to draft a Decentralization Strategy within the Environmental Sector Programme ,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,"51,050",Denmark,2008,4 Months
Asia,Thailand,ENM,ENM,"Danish Strategy for Regional Environmental Assistance in Southeast Asia (Lao PDR, Vietnam, Cambodia, Thailand, Malaysia) - EDRF.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,Laos,ENM,ENM,"Danish Strategy for Regional Environmental Assistance in Southeast Asia (Lao PDR, Vietnam, Cambodia, Thailand, Malaysia) - EDRF.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,Vietnam,ENM,ENM,"Danish Strategy for Regional Environmental Assistance in Southeast Asia (Lao PDR, Vietnam, Cambodia, Thailand, Malaysia) - EDRF.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,Cambodia,ENM,ENM,"Danish Strategy for Regional Environmental Assistance in Southeast Asia (Lao PDR, Vietnam, Cambodia, Thailand, Malaysia) - EDRF.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,Malaysia,ENM,ENM,"Danish Strategy for Regional Environmental Assistance in Southeast Asia (Lao PDR, Vietnam, Cambodia, Thailand, Malaysia) - EDRF.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,Thailand,ENM,ENM,Appraisal Huai Kha Khaeng - Integrated Conservation and Development Project,Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1996,1 Months
Africa,Uganda,ENM,WS,"Evaluation: “City Council of Kampala - A Project for Promoting Ecological Sanitation in Kampala, Uganda”",Sida,Swedish International Development Cooperation Agency - Sida ,4 Months,"45,600",Sweden,2008,4 Months
Asia,Philippines,ENM,ENM,"Formulation of a Watershed Management Strategy and Programme, the Philippines.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1996,1 Months
Asia,Vietnam,ENM,ENM,Appraisal of the Nan Comprehensive Watershed Development Project.,Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1996,1 Months
Americas,Jamaica ,ENM,ENM,Watershed Management Study,IADB,,1 Months,1,,1996,1 Months
Africa,Zambia,ENM,GCS,Pre appraisal of Environment and Natural Resources Management Mainstreaming Programme ,Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"74,870",Denmark,2008,6 Months
Africa,Zambia,ENM,GCS,"Environment and Natural Resources Management Mainstreaming Programme (Pre-appraisal & Finalisation of programme document), Zambia",Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"74,870",Denmark,2008,6 Months
Africa,Zambia,ENM,GCS,"Finalisation of the Environment and Natural Resources Management Mainstreaming Programme Document, Zambia",Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"57,510",Denmark,2008,3 Months
Asia,India ,ENM,ENM,Dakshina Kannada Environmental Master Plan Study,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1995,1 Months
Asia,Vietnam,ENM,ENM,"Danish Strategy for Regional Environmental Assistance in Southeast Asia EDRF
",Danced,Danish Environmental Protection Agency (Danced),1 Months,1,Denmark,1995,1 Months
Asia,Philippines,ENM,ENM,"Pre-Appraisal of Solid Waste Management Project, Smokey Mountain",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,1995,1 Months
Africa,Tanzania,ENM,ARD,Final Evaluation of the Land Management Programme (LAMP) Phase II in Tanzania,Sida,Swedish International Development Cooperation Agency - Sida ,3 Months,"37,960",Sweden,2007,3 Months
Asia,Indonesia,ENM,SE,"Appraisal of the Environmental Support Programme Phase 2 (2008-2012), Indonesia",Danida,"Ministry of Foreign Affairs, Denmark",8 Months,"151,830",Denmark,2007,8 Months
Asia,China,ENM,SE,"Review of Danida’s funds of Environment and Training, China",Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"104,860",Denmark,2006,6 Months
Asia,Indonesia,ENM,WS,Formulation Mission: Environmental Support Programme for Indonesia,Danida,"Ministry of Foreign Affairs, Denmark",5 Months,"73,510",Denmark,2005,5 Months
